21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
70.92,105.82,42.35,42.35,42.35,42.35,56.39,69.89,53.78,95.75,92.58,105.12
42.35,42.35,42.35,42.35,42.35,45.39,42.35,42.35,42.35,61.97,46.8,42.35
447.36,323.89,513.89,256.04,513.89,285.89,513.89,513.89,513.89,513.89,513.89,513.89
42.35,42.35,42.35,42.35,42.35,64.45,44.82,50.46,47.64,85.48,138.18,48.54
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
55.75,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,45.94
42.35,42.35,42.35,42.35,42.35,42.35,46.11,56.75,42.35,48.97,81.2,70.67
42.35,42.35,42.35,42.35,42.35,49.14,46.82,51.21,53.76,58.77,60.26,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,64.44,93.82,99.34,92.2,101.63,100.42,84.69
42.35,42.35,42.35,144.22,144.54,172.46,186.3,181.98,163.95,123.16,127.82,118.37
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,80.16,99.99,99.54,106.08,73.05,58.63,124.91
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,47.61
126.27,111.36,151.46,110.46,87.07,96.19,117.51,143.29,146.96,150.85,151.89,115.13
188.43,254.97,254.97,207.69,236.56,250.7,266.31,325.41,296.76,336.92,370.51,152.45
42.35,42.35,42.35,42.35,42.35,61.81,42.35,43.1,47.86,42.35,42.35,42.35
64.79,129.94,176.15,91.88,126.57,132.98,88.99,74.32,91.79,139.61,148.99,112.86
136.94,194.07,63.38,87.92,80.69,102.9,78.56,118.91,144.47,138.96,186.45,223.38
42.35,42.35,42.35,42.35,42.35,68.47,96.87,121.07,139.06,153.3,167.46,219.82
138.57,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
62.6,124.79,42.35,140.84,84.5,42.35,42.35,42.35,42.73,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,71.71,84.37,86.92,109.97,113.38,84.9,88.74
65.68,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,59.65,90.19,95.37,103.14,99.87
42.35,42.35,42.35,42.35,42.35,42.35,44.59,51.09,50.11,42.35,42.35,42.35
42.35,42.35,42.35,82.13,89.08,76.91,77.8,89.88,121.18,49.68,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,50.31,50.33,42.79,42.35,42.35,42.35
127.82,137.25,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
90.11,130.25,147.35,169.01,153.88,194.74,188.38,217.35,218.68,229.95,243.07,148.9
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,87.4,69.24,64.55,42.35,46.04,53.84,78.13
121.69,205.93,42.35,42.35,42.35,79.03,64.87,59.65,84.44,132.92,179.97,103.16
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,65.49,76.83,42.35,42.35,42.35,42.35,42.35
53.55,65.78,42.35,57.37,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
94.97,91.84,42.35,42.35,42.35,42.35,42.35,42.35,43.74,64.85,75.8,42.35
64.73,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,84.5,98.69,54.24,62.03,56.04,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
139.97,171.13,185.99,135.86,110.1,132.98,111.21,117.56,158.2,143.76,129.38,138.44
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,111.6
185.87,284.36,67.35,42.35,42.35,42.35,42.35,42.35,52.08,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,69.4,59.03,79.93,112.8,42.35,79.43,119.65
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.56,42.35,42.35,42.35,42.35,42.35
42.35,79.57,138.43,194.89,114.54,143.44,100.48,119.79,121.21,116.88,84.45,61.76
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,65.46,65.49,69.89,50.33,47.54,88.74,55.08,96.59
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
